  618
230	  12	  13	  22	  23	 2.906899983E-01
231	  12	  13	  24	  23	 1.696476742E-01
232	  12	  13	  25	  26	 4.833137064E-02
233	  12	  13	  27	  26	 3.035571517E-01
234	  12	  13	  28	  27	 2.056300770E-01
235	  12	  13	  28	  29	 2.475361258E-01
236	  12	  13	  29	  30	 4.363996723E-01
237	  12	  13	  31	  32	 9.694640141E-01
238	  12	  13	  32	  33	 1.397319204E+00
239	  12	  13	  33	  34	 3.425016040E+00
240	  12	  13	  34	  35	 3.954433206E+00
241	  12	  13	  35	  36	 4.912082835E+00
242	  12	  13	  37	  36	 3.770230317E+01
243	  12	  13	  37	  38	 7.684930224E+00
244	  12	  13	  38	  39	 6.580510832E+00
245	  12	  13	  39	  40	 3.591862179E+00
246	  12	  13	  40	  41	 1.289733272E+00
247	  12	  13	  41	  42	 1.321357135E+00
248	  12	  13	  43	  44	 3.441339355E-01
249	  12	  13	  44	  45	 2.019046475E-01
250	  12	  13	  46	  45	 3.247611014E-01
251	  12	  13	  47	  46	 3.814305753E-01
252	  13	  14	  16	  15	 2.901301807E+01
253	  13	  14	  17	  16	 8.698331514E+00
254	  13	  14	  18	  17	 4.598936255E+00
255	  13	  14	  19	  18	 1.097432188E+00
256	  13	  14	  20	  19	 2.852702861E-01
257	  13	  14	  23	  22	 5.244577036E-02
258	  13	  14	  24	  23	 9.048188357E-02
259	  13	  14	  25	  24	 8.553326921E-02
260	  13	  14	  25	  26	 5.778248945E-02
261	  13	  14	  32	  31	 2.649433323E-01
262	  13	  14	  33	  32	 3.769045709E-01
263	  13	  14	  34	  33	 1.043876444E+00
264	  13	  14	  35	  34	 2.494333357E+00
265	  13	  14	  36	  35	 5.550646577E+00
266	  13	  14	  36	  37	 6.412841770E+00
267	  13	  14	  37	  38	 1.470898492E+00
268	  13	  14	  38	  39	 9.672767341E-01
269	  13	  14	  39	  40	 4.844621722E-01
270	  13	  14	  40	  41	 1.530753327E-01
271	  13	  14	  41	  42	 1.925693170E-01
272	  13	  14	  42	  43	 6.139523622E-02
273	  13	  14	  46	  45	 8.289590060E-02
274	  13	  14	  47	  46	 1.140955136E-01
275	  13	  14	  48	  47	 5.630951108E-02
276	  14	  15	  17	  16	 4.067470186E+01
277	  14	  15	  18	  17	 6.516769219E+00
278	  14	  15	  19	  18	 7.103995955E-01
279	  14	  15	  19	  20	 3.260770933E-02
280	  14	  15	  20	  21	 7.229090137E-02
281	  14	  15	  22	  21	 2.101265553E-01
282	  14	  15	  23	  22	 2.490469430E-01
283	  14	  15	  24	  25	 5.251988824E-02
284	  14	  15	  26	  27	 2.543993367E-01
285	  14	  15	  27	  28	 1.355409077E-01
286	  14	  15	  29	  28	 1.230878495E-01
287	  14	  15	  30	  29	 1.999607669E-01
288	  14	  15	  32	  31	 4.260265456E-01
289	  14	  15	  33	  32	 5.759391144E-01
290	  14	  15	  34	  33	 1.446118131E+00
291	  14	  15	  35	  34	 1.763846209E+00
292	  14	  15	  36	  35	 1.869741371E+00
293	  14	  15	  36	  37	 4.213630023E+00
294	  14	  15	  37	  38	 8.597593217E-01
295	  14	  15	  38	  39	 6.640926200E-01
296	  14	  15	  39	  40	 3.503399477E-01
297	  14	  15	  40	  41	 1.015823906E-01
298	  14	  15	  41	  42	 1.368161839E-01
299	  14	  15	  46	  45	 9.923449343E-02
300	  14	  15	  47	  46	 1.478476770E-01
301	  14	  15	   1	  48	 5.688697945E-02
302	  15	  16	  18	  17	 1.009356056E+01
303	  15	  16	  19	  18	 4.507612969E-01
304	  15	  16	  19	  20	 1.276038747E-01
305	  15	  16	  20	  21	 1.005681361E-01
306	  15	  16	  22	  21	 2.000657008E-01
307	  15	  16	  23	  22	 2.186223125E-01
