48
# x y z
40	10	-97.5
25	25	-97.5
10	40	-97.5
2	47.5	-87
2	47.5	-72
2	47.5	-57
2	47.5	-42
2	47.5	-27
2	47.5	-12
10	40	-3
25	25	-3
40	10	-3
40	-10	-3
25	-25	-3
10	-40	-3
2	-47.5	-12
2	-47.5	-27
2	-47.5	-42
2	-47.5	-57
2	-47.5	-72
2	-47.5	-87
10	-40	-97.5
25	-25	-97.5
40	-10	-97.5
60	-10	-97.5
75	-25	-97.5
90	-40	-97.5
98	-47.5	-87
98	-47.5	-72
98	-47.5	-57
98	-47.5	-42
98	-47.5	-27
98	-47.5	-12
90	-40	-3
75	-25	-3
60	-10	-3
60	10	-3
75	25	-3
90	40	-3
98	47.5	-12
98	47.5	-27
98	47.5	-42
98	47.5	-57
98	47.5	-72
98	47.5	-87
90	40	-97.5
75	25	-97.5
60	10	-97.5
1664
# a b m n err i ip iperr k r rhoa u valid 
1	2	23	24	2.53428876935942e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.15329390483191e-03	-3.02684082400000e+00	6.51767789721560e-03	0.00000000000000e+00	1
1	2	24	25	4.76211425835356e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	8.43606701607928e-04	3.15085195200000e+00	2.65807982248162e-03	0.00000000000000e+00	1
1	2	25	26	8.98397353951043e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.88045772572476e-04	1.26766309400000e+00	1.25250916107285e-03	0.00000000000000e+00	1
1	2	26	27	5.39350752864048e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.25797129806204e-04	8.36638889000000e-01	1.88910659820451e-04	0.00000000000000e+00	1
1	2	27	28	4.42788729194558e+01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	7.20002081014127e-05	3.14377616000000e-01	2.26352537744260e-05	0.00000000000000e+00	1
1	2	30	31	6.60899429478589e+01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.16325953344716e-04	1.30270364000000e-01	1.51538242848632e-05	0.00000000000000e+00	1
1	2	36	37	1.60274411287925e+02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.81242441118880e-05	6.36254020000000e-02	6.24319447756501e-06	0.00000000000000e+00	1
1	2	40	41	4.94070519543918e+03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.48520516256527e-05	-8.14437200000000e-03	2.02404353402520e-07	0.00000000000000e+00	1
1	2	41	42	1.85578469126115e+03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-4.27251215805818e-05	-1.26128290000000e-02	5.38884652500088e-07	0.00000000000000e+00	1
1	2	42	43	1.06712545343411e+02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-6.09002613712234e-05	-1.54018373000000e-01	9.37975917167058e-06	0.00000000000000e+00	1
1	2	43	44	1.19945422924980e+02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-7.34806901862941e-05	-1.13554754000000e-01	8.34408169785484e-06	0.00000000000000e+00	1
1	2	44	45	9.22058178296752e+01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-6.59397506789812e-05	-1.64651479000000e-01	1.08570774741855e-05	0.00000000000000e+00	1
1	2	45	46	1.75816725541787e+01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-6.28285017172598e-05	-9.10458837000000e-01	5.72027646039489e-05	0.00000000000000e+00	1
