371 2534 2882 3050 3758 371 1
372 2568 2704 2829 4129 372 1
373 774 2582 3371 4189 373 1
374 2415 2705 2850 3036 374 1
375 2464 2556 3019 3598 375 1
376 2590 3273 3285 3753 376 1
377 2486 2620 3135 3565 377 1
378 2351 3396 2608 3444 378 1
379 370 3527 51 3571 379 1
380 2556 3468 3042 3608 380 1
381 2886 3654 3089 3885 381 1
382 2625 3334 3252 3535 382 1
383 2489 2696 3034 3788 383 1
384 2806 3028 1609 4097 384 1
385 2359 2853 3062 4047 385 1
386 841 645 2805 3185 386 1
387 2894 3157 2518 3390 387 1
388 2570 3102 3447 4135 388 1
389 2767 3626 3500 4393 389 1
390 3153 3350 2660 4505 390 1
391 2637 2616 3902 3955 391 1
392 2675 3527 3867 4342 392 1
393 2833 2886 2555 3008 393 1
394 2600 3896 2809 4384 394 1
395 2637 26 3342 3491 395 1
396 941 3054 2908 3271 396 1
397 2417 3689 3436 3712 397 1
398 2667 3022 3136 4268 398 1
399 2556 2767 3042 3626 399 1
400 3745 3937 3023 4030 400 1
401 2778 3047 2917 4019 401 1
402 2556 3019 3468 3608 402 1
403 2447 3480 2956 4186 403 1
404 505 3040 2885 3582 404 1
405 649 3005 878 3039 405 1
406 2399 2882 2709 3366 406 1
407 2738 3253 2435 3831 407 1
408 2619 2692 3547 3975 408 1
409 2417 3436 3075 3712 409 1
410 1207 2670 1113 2821 410 1
411 2505 2648 2913 4358 411 1
412 1558 2560 3349 4165 412 1
413 2344 2630 2948 3212 413 1
414 2561 3070 2737 3531 414 1
415 1909 3559 2989 3700 415 1
416 2365 3188 2934 3526 416 1
417 2763 3299 974 3499 417 1
418 2447 2665 3480 4186 418 1
419 2533 3087 2896 3850 419 1
420 2571 3399 3488 3640 420 1
421 3276 3474 1185 3697 421 1
422 2927 3148 2449 3579 422 1
423 2691 2960 1988 3162 423 1
424 2577 3257 2892 3943 424 1
425 2688 2507 3001 3797 425 1
426 539 2637 26 3342 426 1
427 2577 2892 3124 3943 427 1
428 2457 2741 2890 3108 428 1
429 2509 2725 2903 3530 429 1
430 2439 2945 2751 3026 430 1
431 2575 3636 2410 4021 431 1
432 2539 2626 3086 3744 432 1
433 2376 2671 3227 4205 433 1
434 2604 2441 2970 4063 434 1
435 2351 2608 3359 3444 435 1
436 2477 2670 2821 3279 436 1
437 2435 3253 2738 3344 437 1
438 2419 3837 3198 4315 438 1
439 2570 3102 2825 3447 439 1
440 2525 3170 3277 3664 440 1
441 2911 2974 3375 3903 441 1
442 2412 2656 3121 3567 442 1
443 2575 3195 3109 3811 443 1
